, ,Above threshold?,Chi^2,Correlation Coefficient,Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
0,,yes,6.31,0.28600000000000003,0,1,streak-free,60.623999999999995,20190127,free,32.163000000000004,32.163000000000004,36.749,42.812,5.272,streak,26.636,136.609,0.0,33.0,-0.375,76.625,34.449
1,,yes,6.728,0.272,0,2,streak-free,64.202,20190127,free,29.51,29.51,36.202,42.218999999999994,5.582999999999999,streak,28.636999999999997,109.73299999999999,0.0,10.0,-0.141,10.859000000000002,33.354
2,,yes,7.638,0.275,0,3,streak-free,68.403,20190127,free,28.653000000000002,28.653000000000002,35.556,41.519,5.9479999999999995,streak,69.529,28.651,-0.172,52.828,0.0,48.0,31.965
3,,yes,7.968999999999999,0.294,0,4,streak-free,76.916,20190127,free,30.366999999999997,30.366999999999997,35.715,41.691,6.688,streak,76.97800000000001,81.86,0.062,33.062,0.32799999999999996,65.328,33.891
4,,yes,6.669,0.281,0,5,streak-free,61.879,20190127,free,30.265,30.265,35.375,41.323,5.381,streak,142.754,73.855,0.016,84.016,-0.21899999999999997,21.781,31.717
5,,yes,6.242000000000001,0.248,0,6,streak-free,52.405,20190127,free,30.796,30.796,35.192,41.123999999999995,4.5569999999999995,streak,29.49,25.908,0.0,58.0,-0.016,19.984,31.976
6,,yes,8.613999999999999,0.321,0,8,streak-free,59.88,20190127,free,30.531,30.531,34.454,40.323,5.207000000000001,streak,25.391,86.73200000000001,0.0,19.0,-0.266,49.733999999999995,32.921
7,,yes,8.12,0.261,0,9,streak-free,51.357,20190127,free,32.0,32.0,34.391,40.256,4.466,streak,22.768,22.768,0.0,71.0,0.0,18.0,31.593000000000004
8,,yes,6.42,0.21899999999999997,0,10,streak-free,57.486999999999995,20190127,free,29.245,29.245,34.33,40.189,4.999,streak,73.312,22.768,0.25,36.25,0.0,56.0,31.479
9,,yes,6.079,0.22899999999999998,0,11,streak-free,52.99100000000001,20190127,free,26.02,26.02,34.049,39.884,4.6080000000000005,streak,22.768,22.768,0.0,64.0,0.0,42.0,28.941
10,,yes,7.933,0.318,0,13,streak-free,50.777,20190127,free,35.245,35.245,34.175,40.021,4.415,streak,22.768,73.312,0.0,64.0,0.23399999999999999,11.234000000000002,36.355
