, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010070/, redtitle: 20190127010070.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch1.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
0,1.0,yes,,1.004,,,,0.0,1.0,streak-bound,186.46,20190127.0,bound,6.449,6.449,2.3,3.8169999999999997,16.214000000000002,streak,26.214000000000002,26.021,-1.969,55.031000000000006,-1.969,45.031000000000006,0.0
1,2.0,yes,,1.005,,,,0.0,2.0,streak-bound,150.721,20190127.0,bound,5.4079999999999995,5.4079999999999995,2.3,3.8169999999999997,13.106,streak,25.467,30.358,-1.969,30.031,-1.969,19.031,0.0
2,3.0,yes,0.247,1.0070000000000001,,,,1.0,3.0,streak-bound,249.6,20190127.0,bound,5.388,5.388,2.334,3.862,21.704,streak,86.01299999999999,70.085,-0.312,70.688,-0.094,32.906,0.10300000000000001
3,4.0,yes,0.013999999999999999,1.0070000000000001,,,,1.0,4.0,streak-bound,271.383,20190127.0,bound,4.592,4.592,2.326,3.8510000000000004,23.598000000000003,streak,66.757,75.189,0.25,64.25,0.203,17.203,0.0
0,1.0,yes,0.11900000000000001,1.0070000000000001,,,,1.0,1.0,streak-bound,322.166,20190127.0,bound,19.347,19.347,2.3,3.8169999999999997,28.014,streak,141.724,133.237,-0.062,87.93799999999999,0.25,14.25,0.0
1,2.0,yes,0.099,1.0070000000000001,,,,1.0,2.0,streak-bound,308.254,20190127.0,bound,19.122,19.122,2.3,3.8169999999999997,26.805,streak,140.625,138.347,-0.062,22.938000000000002,-0.21899999999999997,45.781000000000006,0.0
2,3.0,yes,0.22,1.008,,,,1.0,3.0,spot-bound,277.198,20190127.0,bound,18.327,18.327,2.3,3.8169999999999997,24.104,spot,143.869,145.312,-0.172,34.828,-0.281,48.718999999999994,0.0
0,1.0,yes,0.5660000000000001,1.0090000000000001,,,,1.0,1.0,spot-bound,296.283,20190127.0,bound,42.408,42.408,2.3,3.8169999999999997,25.764,spot,210.938,214.233,0.141,42.141000000000005,0.016,68.016,0.0
1,2.0,yes,0.63,1.0090000000000001,,,,1.0,2.0,spot-bound,302.707,20190127.0,bound,42.918,42.918,2.315,3.8369999999999997,26.322,spot,214.233,209.18,0.469,33.469,0.094,10.094,0.03
2,3.0,yes,0.41600000000000004,1.0090000000000001,,,,1.0,3.0,spot-bound,301.232,20190127.0,bound,42.449,42.449,2.31,3.83,26.194000000000003,spot,210.938,210.25799999999998,-0.266,33.734,0.25,51.25,0.0
3,4.0,yes,0.632,1.0090000000000001,,,,1.0,4.0,spot-bound,309.556,20190127.0,bound,44.367,44.367,2.333,3.861,26.918000000000003,spot,209.18,215.83,0.23399999999999999,71.234,-0.45299999999999996,17.547,0.10300000000000001
4,5.0,yes,0.45399999999999996,1.01,,,,1.0,5.0,spot-bound,283.691,20190127.0,bound,41.49,41.49,2.327,3.852,24.669,spot,214.13,215.82,-0.375,48.625,-0.188,48.812,0.0
0,1.0,yes,0.455,1.0090000000000001,,,,1.0,1.0,spot-bound,304.159,20190127.0,bound,41.673,41.673,2.3,3.8169999999999997,26.449,spot,209.18,206.25,-0.266,37.734,0.031,43.031000000000006,0.0
1,2.0,yes,0.489,1.01,,,,1.0,2.0,spot-bound,282.256,20190127.0,bound,41.347,41.347,2.329,3.855,24.544,spot,215.332,214.233,-0.21899999999999997,63.781000000000006,0.203,13.203,0.057999999999999996
2,3.0,yes,0.41600000000000004,1.0090000000000001,,,,1.0,3.0,spot-bound,294.69,20190127.0,bound,41.653,41.653,2.327,3.853,25.625,spot,210.938,210.938,-0.43799999999999994,19.562,-0.32799999999999996,30.671999999999997,0.024
3,4.0,yes,0.518,1.0090000000000001,,,,1.0,4.0,spot-bound,302.54900000000004,20190127.0,bound,43.102,43.102,2.323,3.847,26.309,spot,212.585,212.585,-0.45299999999999996,59.547,-0.125,23.875,0.009000000000000001
4,5.0,yes,0.39899999999999997,1.01,,,,1.0,5.0,spot-bound,291.337,20190127.0,bound,42.388000000000005,42.388000000000005,2.3280000000000003,3.853,25.334,spot,210.84,217.52900000000002,-0.406,69.594,-0.344,60.656000000000006,0.047
0,1.0,yes,0.47200000000000003,1.01,,,,1.0,1.0,spot-bound,298.81,20190127.0,bound,44.02,44.02,2.3,3.8169999999999997,25.983,spot,210.938,220.459,-0.172,15.828,-0.125,58.875,0.0
1,2.0,yes,0.40399999999999997,1.0090000000000001,,,,1.0,2.0,spot-bound,318.875,20190127.0,bound,44.02,44.02,2.302,3.82,27.728,spot,209.03400000000002,207.642,0.469,78.469,0.406,37.406,0.005
0,1.0,yes,0.574,1.0090000000000001,,,,1.0,1.0,spot-bound,296.781,20190127.0,bound,42.693999999999996,42.693999999999996,2.344,3.875,25.807,spot,210.938,215.332,0.141,51.141000000000005,0.188,65.188,0.044000000000000004
1,2.0,yes,0.42,1.0090000000000001,,,,1.0,2.0,spot-bound,301.327,20190127.0,bound,42.49,42.49,2.342,3.872,26.201999999999998,spot,210.81400000000002,210.938,-0.21899999999999997,75.781,0.391,53.391000000000005,0.04
2,3.0,yes,0.48200000000000004,1.01,,,,1.0,3.0,spot-bound,286.903,20190127.0,bound,41.714,41.714,2.334,3.862,24.948,spot,216.266,212.585,0.42200000000000004,42.422,-0.203,77.797,0.019
3,4.0,yes,0.496,1.0090000000000001,,,,1.0,4.0,spot-bound,301.503,20190127.0,bound,43.082,43.082,2.3280000000000003,3.8539999999999996,26.218000000000004,spot,207.642,217.014,0.516,10.515999999999998,0.203,42.203,0.009000000000000001
0,1.0,yes,41.43600000000001,1.0090000000000001,,,,0.0,1.0,spot-bound,320.837,20190127.0,bound,41.98,41.98,34.034,39.868,27.899,spot,167.847,163.477,-0.188,23.811999999999998,-0.109,85.891,31.734
1,2.0,yes,0.449,1.0090000000000001,,,,1.0,2.0,spot-bound,313.16200000000003,20190127.0,bound,43.878,43.878,18.182000000000002,22.445999999999998,27.230999999999998,spot,210.938,209.18,-0.156,70.844,0.047,58.047,0.03
2,3.0,yes,0.596,1.0090000000000001,,,,1.0,3.0,spot-bound,308.931,20190127.0,bound,43.735,43.735,12.888,16.477999999999998,26.864,spot,214.13,209.076,-0.141,76.859,0.203,31.203000000000003,0.0
3,4.0,yes,6.381,1.01,,,,0.0,4.0,spot-bound,301.293,20190127.0,bound,42.347,42.347,11.535,14.932,26.199,spot,201.53799999999998,201.416,-0.266,18.734,0.406,80.406,5.178
0,1.0,yes,0.424,1.0090000000000001,,,,1.0,1.0,spot-bound,311.803,20190127.0,bound,42.93899999999999,42.93899999999999,2.314,3.835,27.113000000000003,spot,211.91400000000002,204.639,0.266,63.266000000000005,-0.047,61.953,0.013999999999999999
1,2.0,yes,0.495,1.0090000000000001,,,,1.0,2.0,spot-bound,302.128,20190127.0,bound,43.122,43.122,2.307,3.826,26.272,spot,217.014,207.44299999999998,-0.188,50.812,-0.094,33.906,0.0
2,3.0,yes,0.491,1.01,,,,1.0,3.0,spot-bound,293.454,20190127.0,bound,41.898,41.898,2.305,3.823,25.518,spot,215.332,209.18,0.23399999999999999,41.233999999999995,-0.156,34.844,0.0
0,1.0,yes,0.561,1.0090000000000001,,,,1.0,1.0,spot-bound,311.395,20190127.0,bound,43.082,43.082,2.3,3.8169999999999997,27.078000000000003,spot,210.938,207.468,-0.391,48.608999999999995,-0.094,84.906,0.0
1,2.0,yes,0.309,1.0090000000000001,,,,1.0,2.0,spot-bound,296.66200000000003,20190127.0,bound,42.449,42.449,2.3,3.8169999999999997,25.796999999999997,spot,210.938,213.57,0.062,71.062,-0.25,23.75,0.0
2,3.0,yes,1.682,1.0090000000000001,,,,1.0,3.0,spot-bound,308.322,20190127.0,bound,42.857,42.857,2.713,4.36,26.811,spot,207.468,207.468,0.266,79.266,0.156,26.156,1.238
