, ,Above threshold?,Chi^2,Correlation Coefficient,Corresponding ROI1,Corresponding ROI2,Good?,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,RK 1,RK 10,RK 2,RK 3,RK 4,RK 5,RK 6,RK 7,RK 8,RK 9,ROI,ROI1,ROI2,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run1,run2,spot1,spot2,stoichiometry,streak or spot?,streak1,streak2,wx,wy,x0,xpos,xpos1,xpos2,y0,ypos,ypos1,ypos2,z
0,1,yes,1.507,1.008,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,streak-bound,310.723,20190127,bound,43.408,43.408,9.911,13.059000000000001,,,,,51.787,streak,,,412.5,116.42200000000001,0.0,32.0,,,0.32799999999999996,72.328,,,0.414
0,1,yes,8.258,1.01,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,Undefined-bound,300.126,20190127,bound,63.041000000000004,63.041000000000004,9.628,12.73,,,,,50.021,Undefined,,,393.555,160.675,-0.344,42.656000000000006,,,0.0,60.0,,,8.427999999999999
1,2,yes,19.891,1.022,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,Undefined-bound,244.953,20190127,bound,119.469,119.469,7.382000000000001,10.099,,,,,40.826,Undefined,,,486.19300000000004,428.048,-0.42200000000000004,15.578,,,-0.062,42.938,,,3.937
2,3,yes,19.364,1.016,,,0.0,,,,,,,,,,,,,,,,,,,,,3.0,,,spot-bound,244.255,20190127,bound,96.061,96.061,8.11,10.958,,,,,40.709,spot,,,447.592,332.06199999999995,0.359,60.358999999999995,,,-0.203,17.797,,,8.366
3,4,yes,6.968,1.034,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,Undefined-bound,98.234,20190127,bound,30.408,30.408,8.575,11.503,,,,,16.372,Undefined,,,493.79,231.592,-0.32799999999999996,12.672,,,-0.141,33.859,,,3.801
0,1,yes,33.565,1.011,,,0.0,,,,,,,,,,,,,,,,,,,,,4.0,,,spot-bound,316.991,20190127,bound,101.041,101.041,26.824,32.003,,,,,52.832,spot,,,383.65,218.024,0.516,19.516,,,-0.266,50.733999999999995,,,38.052
1,2,yes,38.196,1.018,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,spot-bound,237.61700000000002,20190127,bound,124.184,124.184,39.457,45.739,,,,,39.603,spot,,,332.06199999999995,248.047,-0.21899999999999997,48.781000000000006,,,0.21899999999999997,30.219,,,76.157
2,3,yes,24.72,1.023,,,0.0,,,,,,,,,,,,,,,,,,,,,8.0,,,Undefined-bound,230.65200000000002,20190127,bound,119.65299999999999,119.65299999999999,30.935,36.497,,,,,38.442,Undefined,,,495.60900000000004,472.10699999999997,0.23399999999999999,49.233999999999995,,,0.031,24.031,,,5.019
0,1,yes,7.115,1.013,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,spot-bound,303.628,20190127,bound,85.449,85.449,16.94,21.055999999999997,,,,,50.605,spot,,,393.75,213.57,0.047,37.047,,,-0.125,39.875,,,10.989
0,1,yes,16.725,1.012,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,spot-bound,207.597,20190127,bound,65.531,65.531,3.466,5.327000000000001,,,,,34.599000000000004,spot,,,483.048,278.7,-0.484,60.516000000000005,,,0.547,78.547,,,2.266
1,2,yes,23.51,1.011,,,0.0,,,,,,,,,,,,,,,,,,,,,4.0,,,streak-bound,302.219,20190127,bound,57.592,57.592,17.652,21.854,,,,,50.37,streak,,,421.62800000000004,95.867,0.312,74.312,,,-0.297,18.703,,,33.17
0,1,,,,,,,1.0,1.8459999999999999,1.0,1.02,1.119,1.212,1.2890000000000001,1.389,1.531,1.686,89.84,1.6580000000000001,22.46,10.181000000000001,6.2860000000000005,4.355,3.218,2.5469999999999997,2.15,1.87,,1.0,,,,20190127,,,,,,2.0,,1.0,,,,0.0,,,,,,60.516000000000005,,,,78.547,,
0,1,yes,18.975,1.016,,,0.0,,,,,,,,,,,,,,,,,,,,,4.0,,,spot-bound,187.19099999999997,20190127,bound,68.061,68.061,8.689,11.636,,,,,31.199,spot,,,443.061,331.233,0.21899999999999997,79.219,,,0.031,34.031,,,5.277
0,1,yes,14.587,1.023,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,spot-bound,334.981,20190127,bound,157.36700000000002,157.36700000000002,8.642000000000001,11.582,,,,,55.83,spot,,,461.56,381.16900000000004,-0.375,21.625,,,0.562,35.562,,,7.442
0,1,,,,,,,1.0,1.986,1.0,1.0170000000000001,1.114,1.206,1.307,1.4609999999999999,1.63,1.806,89.84,1.784,22.46,10.149,6.257999999999999,4.335,3.261,2.678,2.2880000000000003,2.003,,1.0,,,,20190127,,,,,,2.0,,1.0,,,,0.0,,,,,,21.625,,,,35.562,,
0,1,yes,12.898,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,spot-bound,323.243,20190127,bound,128.714,128.714,4.72,6.892,,,,,53.873999999999995,spot,,,461.63599999999997,326.103,0.031,15.030999999999999,,,0.45299999999999996,51.453,,,3.52
1,2,yes,22.543000000000003,1.016,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,spot-bound,305.164,20190127,bound,133.63299999999998,133.63299999999998,10.864,14.16,,,,,50.861000000000004,spot,,,457.35400000000004,335.735,-0.047,7.952999999999999,,,-0.547,34.453,,,15.808
0,1,yes,59.65,1.013,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,spot-bound,197.56799999999998,20190127,bound,100.61200000000001,100.61200000000001,70.29,78.67399999999999,,,,,32.928000000000004,spot,,,453.075,259.763,-0.047,68.953,,,-0.42200000000000004,33.578,,,62.174
1,2,yes,29.825,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,3.0,,,streak-bound,318.52,20190127,bound,51.041000000000004,51.041000000000004,57.707,65.304,,,,,53.086999999999996,streak,,,364.319,91.073,0.062,58.062,,,0.23399999999999999,70.234,,,31.340999999999998
2,3,yes,6.475,1.021,,,0.0,,,,,,,,,,,,,,,,,,,,,9.0,,,streak-bound,121.155,20190127,bound,22.49,22.49,37.565,43.693999999999996,,,,,20.192999999999998,streak,,,453.781,125.946,0.094,8.094,,,-0.094,31.906,,,6.709
0,1,yes,4.087,1.0190000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,streak-bound,132.599,20190127,bound,17.041,17.041,4.132,6.165,,,,,22.1,streak,,,402.68300000000005,105.72200000000001,-0.297,25.703000000000003,,,0.344,39.344,,,2.714
0,1,yes,9.029,1.008,,,0.0,,,,,,,,,,,,,,,,,,,,,7.0,,,streak-bound,320.249,20190127,bound,39.449,39.449,16.737000000000002,20.828000000000003,,,,,53.375,streak,,,484.375,86.736,-0.016,81.984,,,0.312,29.311999999999998,,,5.968
1,2,yes,2.4619999999999997,1.0490000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,38.0,,,streak-bound,26.998,20190127,bound,2.245,2.245,11.962,15.421,,,,,4.5,streak,,,274.556,22.768,-0.281,8.719,,,0.0,83.0,,,1.6059999999999999
0,1,yes,7.926,1.037,,,0.0,,,,,,,,,,,,,,,,,,,,,39.0,,,streak-bound,39.366,20190127,bound,3.306,3.306,7.055,9.711,,,,,6.561,streak,,,321.19599999999997,22.768,0.469,24.469,,,0.0,16.0,,,0.72
