ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	34.449	60.624	10.104	33.000	76.625	0.000	-0.375	6.310	0	26.636	136.609	streak	0.286	free	32.163	32.163	35.649	41.620	yes	streak-free
2	33.354	64.202	10.700	10.000	10.859	0.000	-0.141	6.728	0	28.637	109.733	streak	0.272	free	29.510	29.510	35.102	41.026	yes	streak-free
3	31.965	68.403	11.401	52.828	48.000	-0.172	0.000	7.638	0	69.529	28.651	streak	0.275	free	28.653	28.653	34.456	40.326	yes	streak-free
4	33.891	76.916	12.819	33.062	65.328	0.062	0.328	7.969	0	76.978	81.860	streak	0.294	free	30.367	30.367	34.615	40.498	yes	streak-free
5	31.717	61.879	10.313	84.016	21.781	0.016	-0.219	6.669	0	142.754	73.855	streak	0.281	free	30.265	30.265	34.275	40.130	yes	streak-free
6	31.976	52.405	8.734	58.000	19.984	0.000	-0.016	6.242	0	29.490	25.908	streak	0.248	free	30.796	30.796	34.092	39.931	yes	streak-free
8	32.921	59.880	9.980	19.000	49.734	0.000	-0.266	8.614	0	25.391	86.732	streak	0.321	free	30.531	30.531	33.354	39.129	yes	streak-free
9	31.593	51.357	8.560	71.000	18.000	0.000	0.000	8.120	0	22.768	22.768	streak	0.261	free	32.000	32.000	33.291	39.061	yes	streak-free
10	31.479	57.487	9.581	36.250	56.000	0.250	0.000	6.420	0	73.312	22.768	streak	0.219	free	29.245	29.245	33.230	38.994	yes	streak-free
11	28.941	52.991	8.832	64.000	42.000	0.000	0.000	6.079	0	22.768	22.768	streak	0.229	free	26.020	26.020	32.949	38.689	yes	streak-free
13	36.355	50.777	8.463	64.000	11.234	0.000	0.234	7.933	0	22.768	73.312	streak	0.318	free	35.245	35.245	33.075	38.827	yes	streak-free
14	31.992	58.379	9.730	25.750	37.062	-0.250	0.062	7.447	0	85.166	135.150	streak	0.265	free	31.408	31.408	33.084	38.836	yes	streak-free
15	32.384	27.883	4.647	16.547	9.578	-0.453	-0.422	7.217	0	449.375	103.216	streak	0.278	free	31.020	31.020	33.117	38.872	no	streak-free
16	31.114	48.378	8.063	81.984	32.000	-0.016	0.000	7.680	0	22.768	22.768	streak	0.260	free	27.878	27.878	33.067	38.817	yes	streak-free
17	30.608	75.400	12.567	78.281	19.312	0.281	0.312	6.951	0	79.489	87.317	streak	0.255	free	28.776	28.776	32.993	38.737	yes	streak-free
18	32.201	46.221	7.703	90.984	24.000	-0.016	0.000	6.228	0	23.127	28.139	streak	0.234	free	32.653	32.653	33.016	38.761	yes	streak-free
19	30.331	28.263	4.711	32.969	39.297	-0.031	0.297	9.613	0	176.367	228.790	spot	0.310	free	27.694	27.694	32.937	38.677	no	spot-free
20	33.372	35.157	5.860	16.297	39.000	0.297	0.000	8.452	0	241.524	22.768	streak	0.338	free	29.224	29.224	33.019	38.765	no	streak-free
21	30.712	68.472	11.412	36.250	30.359	0.250	0.359	7.988	0	88.788	83.924	streak	0.303	free	29.816	29.816	32.966	38.708	yes	streak-free
22	33.934	42.025	7.004	50.000	16.000	0.000	0.000	9.532	0	22.768	22.768	streak	0.272	free	27.184	27.184	33.065	38.815	yes	streak-free
23	35.084	51.683	8.614	52.094	72.000	0.094	0.000	9.086	0	158.897	25.467	streak	0.342	free	31.449	31.449	33.205	38.967	yes	streak-free
24	30.789	32.241	5.373	35.000	20.594	0.000	0.594	7.339	0	29.738	379.189	Undefined	0.296	free	30.918	30.918	33.154	38.912	no	Undefined-free
25	30.833	79.688	13.281	71.406	23.469	0.406	0.469	7.381	0	100.278	113.620	streak	0.266	free	29.102	29.102	33.109	38.863	yes	streak-free
26	31.215	44.189	7.365	78.984	55.000	-0.016	0.000	7.004	0	22.947	24.214	streak	0.234	free	27.429	27.429	33.083	38.834	yes	streak-free
28	31.932	57.953	9.659	13.969	30.547	-0.031	-0.453	6.599	0	165.496	91.790	streak	0.264	free	31.102	31.102	33.085	38.836	yes	streak-free
29	33.382	49.319	8.220	65.000	76.734	0.000	-0.266	8.569	0	22.768	77.257	streak	0.244	free	28.327	28.327	33.138	38.895	yes	streak-free
30	31.999	35.980	5.997	76.594	89.328	-0.406	0.328	7.356	0	91.073	381.571	Undefined	0.276	free	31.653	31.653	33.140	38.897	no	Undefined-free
31	33.748	40.970	6.828	85.875	48.000	-0.125	0.000	7.633	0	85.809	22.768	streak	0.255	free	28.000	28.000	33.200	38.962	yes	streak-free
33	28.617	18.495	3.083	45.438	49.984	0.438	-0.016	7.513	0	413.260	256.033	spot	0.242	free	31.673	31.673	33.091	38.844	no	spot-free
34	30.937	56.796	9.466	68.359	54.000	0.359	0.000	6.746	0	85.841	22.768	streak	0.225	free	27.082	27.082	33.061	38.811	yes	streak-free
38	34.323	87.061	14.510	44.516	79.453	-0.484	0.453	7.574	0	87.295	82.031	streak	0.250	free	30.878	30.878	32.668	38.383	yes	streak-free
39	32.371	65.340	10.890	46.516	33.000	-0.484	0.000	6.710	0	91.790	22.768	streak	0.232	free	29.857	29.857	32.694	38.412	yes	streak-free
40	32.215	44.704	7.451	63.219	26.969	0.219	-0.031	6.951	0	96.277	23.130	streak	0.254	free	28.939	28.939	32.714	38.433	yes	streak-free
41	31.929	59.106	9.851	24.438	59.000	0.438	0.000	7.282	0	91.073	22.768	streak	0.245	free	29.184	29.184	32.725	38.446	yes	streak-free
42	33.538	30.774	5.129	48.828	7.500	-0.172	0.500	7.138	0	189.502	136.609	spot	0.250	free	32.041	32.041	32.778	38.503	no	spot-free
45	34.345	44.669	7.445	25.141	9.375	0.141	0.375	7.899	0	97.019	90.133	streak	0.262	free	32.082	32.082	32.849	38.580	yes	streak-free
46	30.880	56.742	9.457	25.672	26.469	-0.328	0.469	7.582	0	162.240	78.226	streak	0.251	free	26.612	26.612	32.830	38.559	yes	streak-free
48	33.791	36.085	6.014	78.141	63.000	1.141	0.000	5.178	0	93.675	32.526	streak	0.178	free	31.265	31.265	32.882	38.617	no	streak-free
51	35.369	35.335	5.889	14.984	88.844	-0.016	-0.156	6.913	0	23.485	151.788	Undefined	0.220	free	35.673	35.673	32.970	38.712	no	Undefined-free
52	32.960	28.630	4.772	20.516	77.141	-0.484	0.141	7.660	0	136.609	113.841	streak	0.299	free	30.796	30.796	32.998	38.742	no	streak-free
53	31.614	36.379	6.063	30.000	59.000	0.000	0.000	7.853	0	22.768	30.697	streak	0.248	free	26.531	26.531	32.994	38.738	no	streak-free
54	33.039	38.267	6.378	31.312	90.062	0.312	0.062	7.145	0	84.347	189.940	Undefined	0.276	free	31.265	31.265	33.021	38.768	no	Undefined-free
58	31.392	36.599	6.100	91.000	8.000	0.000	0.000	6.773	0	22.768	22.768	streak	0.210	free	30.694	30.694	32.948	38.688	no	streak-free
60	30.490	44.820	7.470	28.891	17.281	-0.109	0.281	6.558	0	117.159	85.952	streak	0.191	free	27.918	27.918	32.922	38.660	yes	streak-free
62	32.621	12.335	2.056	41.391	83.141	0.391	0.141	7.129	0	281.493	399.013	spot	0.217	free	34.327	34.327	32.932	38.670	no	spot-free
76	30.281	49.039	8.173	62.578	91.375	-0.422	0.375	7.160	0	115.648	139.161	streak	0.256	free	28.612	28.612	32.764	38.488	yes	streak-free
77	32.908	23.577	3.930	69.969	46.047	-0.031	0.047	6.304	0	45.536	245.339	Undefined	0.219	free	31.857	31.857	32.789	38.515	no	Undefined-free
93	30.041	23.987	3.998	62.562	49.000	-0.438	0.000	5.959	0	284.082	22.768	streak	0.217	free	28.673	28.673	32.358	38.047	no	streak-free
94	33.269	15.749	2.625	73.625	42.000	0.625	0.000	5.711	0	469.768	24.286	streak	0.225	free	33.429	33.429	32.394	38.086	no	streak-free
117	31.238	44.981	7.497	78.484	69.703	-0.516	-0.297	6.269	0	98.231	86.330	streak	0.234	free	26.980	26.980	32.395	38.087	yes	streak-free
124	26.885	15.276	2.546	79.375	78.344	-1.625	0.344	6.637	0	481.991	227.682	Undefined	0.228	free	27.796	27.796	32.324	38.010	no	Undefined-free
