ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	67.448	265.503	44.250	83.000	15.250	0.000	0.250	28.830	0	22.768	77.248	streak	0.561	bound	64.735	64.735	68.648	76.934	yes	streak-bound
2	68.516	167.570	27.928	83.000	74.000	0.000	0.000	23.795	0	22.768	22.768	streak	0.446	free	66.163	66.163	69.182	77.500	yes	streak-free
3	66.806	171.670	28.612	42.078	19.000	0.078	0.000	30.747	0	127.883	22.768	streak	0.521	bound	56.673	56.673	68.790	77.084	yes	streak-bound
4	68.930	105.485	17.581	72.359	77.391	0.359	-0.609	36.777	0	87.419	462.059	Undefined	0.535	bound	57.245	57.245	69.125	77.439	yes	Undefined-bound
5	65.910	185.929	30.988	74.219	8.000	0.219	0.000	25.192	0	73.251	22.768	streak	0.430	free	55.857	55.857	68.722	77.012	yes	streak-free
6	65.675	225.754	37.626	80.562	56.859	-0.438	-0.141	27.198	0	92.518	85.311	streak	0.437	free	56.490	56.490	68.414	76.685	yes	streak-free
7	64.162	190.876	31.813	35.328	43.000	0.328	0.000	27.477	0	100.366	45.536	streak	0.439	free	55.653	55.653	67.978	76.223	yes	streak-free
8	65.357	104.972	17.495	66.984	89.531	-0.016	-0.469	33.065	0	200.000	193.799	spot	0.516	bound	60.429	60.429	67.800	76.035	yes	spot-bound
9	66.634	147.523	24.587	54.703	83.438	-0.297	0.438	27.030	0	103.216	192.236	Undefined	0.517	bound	67.041	67.041	67.804	76.038	yes	Undefined-bound
10	54.213	169.558	28.260	11.000	14.125	0.000	0.125	18.713	0	22.768	83.036	streak	0.355	free	50.184	50.184	66.565	74.724	yes	streak-free
