 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	140.652	436.454	72.742	27.000	87.984	0.000	-0.016	65.131	0	22.768	26.056	streak	0.514	bound	101.878	101.878	141.852	153.763	yes	streak-bound
2	2	130.606	521.714	86.952	72.703	65.891	-0.297	-0.109	41.943	0	78.949	71.943	streak	0.471	free	123.612	123.612	136.829	148.526	yes	streak-free
3	3	130.804	490.381	81.730	71.000	41.656	0.000	-0.344	71.644	0	22.768	89.214	streak	0.441	free	104.429	104.429	135.221	146.849	yes	streak-free
4	4	136.276	444.057	74.009	36.000	54.719	0.000	-0.281	58.244	0	22.768	84.125	streak	0.512	bound	115.306	115.306	135.785	147.437	yes	streak-bound
5	5	115.314	485.808	80.968	85.688	89.000	-0.312	0.000	49.438	0	85.254	22.768	streak	0.451	free	98.551	98.551	131.931	143.417	yes	streak-free
6	6	143.377	338.043	56.341	70.000	79.000	0.000	0.000	59.209	0	25.865	22.768	streak	0.497	free	126.388	126.388	134.038	145.616	yes	streak-free
7	7	106.060	316.086	52.681	10.828	80.359	-0.172	0.359	53.100	0	217.014	132.786	spot	0.482	free	102.163	102.163	130.213	141.624	yes	spot-free
8	8	137.882	391.833	65.306	80.828	23.234	-0.172	0.234	55.486	0	75.189	102.514	streak	0.516	bound	128.959	128.959	131.321	142.781	yes	streak-bound
9	9	146.619	307.371	51.228	55.000	58.000	0.000	0.000	64.879	0	22.768	22.768	streak	0.453	free	114.327	114.327	133.155	144.694	yes	streak-free
10	10	125.618	498.802	83.134	11.344	13.453	0.344	0.453	58.538	0	129.585	81.496	streak	0.478	free	101.204	101.204	132.521	144.033	yes	streak-free
11	11	135.788	356.784	59.464	64.734	90.016	-0.266	0.016	49.662	0	110.163	101.562	streak	0.425	free	117.755	117.755	132.927	144.456	yes	streak-free
12	12	131.375	316.192	52.699	79.016	55.984	0.016	-0.016	55.727	0	30.386	22.947	streak	0.424	free	99.020	99.020	132.898	144.426	yes	streak-free
13	13	142.674	329.487	54.914	29.188	57.969	0.188	-0.031	53.430	0	111.714	23.485	streak	0.464	free	126.367	126.367	133.742	145.307	yes	streak-free
14	14	140.958	298.729	49.788	35.000	33.000	0.000	0.000	64.445	0	22.768	22.768	streak	0.467	free	122.184	122.184	134.343	145.934	yes	streak-free
15	15	132.877	270.967	45.161	12.000	27.234	0.000	1.234	55.337	0	45.536	150.076	Undefined	0.475	free	125.959	125.959	134.325	145.915	yes	Undefined-free
16	16	136.594	323.077	53.846	31.812	8.000	-0.188	0.000	65.035	0	80.887	22.768	streak	0.508	bound	117.327	117.327	134.542	146.141	yes	streak-bound
17	17	138.888	357.858	59.643	78.000	32.719	0.000	-0.281	68.051	0	22.768	82.789	streak	0.511	bound	116.551	116.551	134.868	146.482	yes	streak-bound
18	18	122.590	459.738	76.623	49.578	47.000	-0.422	0.000	47.567	0	85.215	131.743	streak	0.423	free	113.449	113.449	134.253	145.840	yes	streak-free
19	19	135.854	252.848	42.141	84.219	39.094	0.219	0.094	51.938	0	172.180	112.363	streak	0.459	free	111.041	111.041	134.400	145.994	yes	streak-free
