 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	147.174	420.815	70.136	41.000	65.391	0.000	0.391	63.382	0	22.768	130.104	streak	0.488	free	124.143	124.143	148.374	160.555	yes	streak-free
2	2	147.431	350.531	58.422	11.234	78.969	0.234	-0.031	56.044	0	196.777	24.040	streak	0.422	free	129.102	129.102	148.503	160.689	yes	streak-free
3	3	144.707	394.879	65.813	67.000	27.000	0.000	0.000	56.141	0	22.768	22.768	streak	0.465	free	127.449	127.449	147.638	159.788	yes	streak-free
4	4	153.646	378.925	63.154	33.000	73.984	0.000	-0.016	54.974	0	25.467	22.768	streak	0.440	free	142.286	142.286	149.440	161.664	yes	streak-free
5	5	138.905	386.816	64.469	12.000	63.000	0.000	0.000	63.627	0	22.768	22.768	streak	0.450	free	112.102	112.102	147.573	159.721	yes	streak-free
6	6	149.282	369.545	61.591	86.984	20.000	-0.016	0.000	70.706	0	22.768	22.768	streak	0.445	free	113.122	113.122	148.058	160.226	yes	streak-free
7	7	140.030	435.380	72.563	54.281	75.000	0.281	0.000	58.693	0	95.503	22.768	streak	0.457	free	128.265	128.265	147.082	159.210	yes	streak-free
8	9	148.293	346.111	57.685	50.000	21.000	0.000	0.000	62.823	0	22.768	22.768	streak	0.432	free	109.796	109.796	146.205	158.296	yes	streak-free
9	10	158.523	407.659	67.943	18.250	49.188	0.250	0.188	64.696	0	80.801	82.171	streak	0.439	free	128.490	128.490	147.557	159.704	yes	streak-free
10	13	142.095	508.134	84.689	35.000	41.453	0.000	0.453	51.289	0	22.768	91.073	streak	0.413	free	128.673	128.673	148.078	160.247	yes	streak-free
11	15	141.759	322.066	53.678	71.031	43.984	0.031	-0.016	64.185	0	87.500	23.485	streak	0.465	free	122.204	122.204	147.360	159.499	yes	streak-free
12	16	145.016	312.973	52.162	70.000	11.000	0.000	0.000	53.288	0	22.768	22.768	streak	0.379	free	120.122	120.122	147.284	159.420	yes	streak-free
13	17	132.399	271.549	45.258	55.000	38.906	0.000	-0.094	59.380	0	22.768	233.401	Undefined	0.450	free	116.490	116.490	146.428	158.529	yes	Undefined-free
14	19	143.608	327.998	54.666	87.250	85.016	0.250	0.016	60.085	0	160.177	22.947	streak	0.477	free	139.837	139.837	146.314	158.410	yes	streak-free
